nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,force,comment
Blackhead,,6,235,Blackhead,Porangahau,2608,0,0,
Blue Mountains,,15,134,Blue Mountains,Upper Hutt,142,,,
Dalefield,,15,198,Dalefield,Carterton,277,,,
Gladstone,,15,253,Gladstone,Gladstone,416,,,
Homewood,,15,281,Homewood,Masterton,2593,,,
Kaitoke,,15,328,Kaitoke,Upper Hutt,1191,,,
Kaituna,,15,211,Kaituna,Masterton,644,,,
Linton Camp,Palmerston North,6,226,Linton,Palmerston North,2016,1,,
Longbush,,15,223,Longbush,Longbush,764,,,
Lower Hutt Central,Lower Hutt,15,95,Hutt Central,Lower Hutt,8803,,,
Matahiwi,,15,229,Matahiwi,Masterton,874,,,
Ngahape,,15,273,Ngahape,Masterton,1023,,,
Ocean Beach,,15,143,Ocean Beach,Ocean Beach,2944,,,
Otaki,,15,154,Otaki,Otaki,4000,,,
Queen Elizabeth Park,,15,301,Paekakariki,Paekakariki,1180,1,,
Parkvale,,15,215,Parkvale,Carterton,1221,,,
Shannon,,6,194,Shannon,Shannon,4042,,,
White Rock,,15,310,White Rock,Martinborough,2584,,,
Woodside,,15,189,Woodside,Greytown,1970,,,
Massey University,Palmerston North,6,234,Turitea,Palmerston North,2264,1,,
