nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,force,comment
Awatuna,,4,353,Awatuna,Hokitika,2071,,,
Benmore,,3,390,Benmore,Otematata,4056,,,
Birchwood,,3,3,Birchwood,Omarama,126,,,
Broomfield,,3,205,Broomfield,Broomfield,2301,,,
Glenbrook,,3,368,Glenbrook,Twizel,8852,,,
Lansdowne,,3,391,Lansdowne,Lansdowne,8830,,,
Long Bay,,3,330,Long Bay,Akaroa,762,,,Getting wrong one???
Mayfield,,3,93,Mayfield,Ashburton,904,,,
Milford,,3,89,Milford,Temuka,931,,,
Normanby,,3,74,Normanby,Timaru,1049,,,
Rapaki,,3,262,Te Rapaki-o-Te Rakiwhakaputa,Lyttelton,1373,,,
Saint Albans,Christchurch,3,239,St Albans,Christchurch,1522,,,
Springfield,,3,138,Springfield,Springfield,2435,,,
Taylors Mistake,Christchurch,3,388,Te Onepoto / Taylors Mistake,Christchurch,8931,,,
Wainui,,3,317,Wainui,French Farm,1817,,,
Woodend,,3,10,Woodend,Woodend,1963,,,
# local ones,,,,,,,,,
Burnham Military Camp,Burnham,3,168,Burnham,Burnham,179,1,,
Lincoln University,Lincoln,3,181,Lincoln,Lincoln,2353,1,,
Wigram Skies,Christchurch,3,383,Wigram,Christchurch,1943,1,,
