nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,force,comment
Aramoana,,5,1,Aramoana,Omakere,2602,0,0,
Waverley,,12,7,Waverley,Waverley,2400,0,0,
Pakaraka,,6,12,Pakaraka,Whanganui,2011,0,0,
Marybank,,6,39,Marybank,Whanganui,2207,0,0,
Kaitoke,,6,42,Kaitoke,Whanganui,2026,0,0,
Raetihi,,6,44,Raetihi,Raetihi,1695,0,0,
Matahiwi,,6,48,Matahiwi,Whanganui,872,0,0,
Muriwai,,4,121,Muriwai,Manutuke,2635,0,0,
Kaingaroa,,2,170,Kaingaroa,Broadlands,2028,0,0,
Fernhill,,5,185,Fernhill,Napier,2154,0,0,
Glengarry,,5,192,Glengarry,Napier,428,0,0,
Blackhead,,5,205,Blackhead,Porangahau,2608,0,0,
Karamu,,5,224,Karamu,Hastings,660,0,0,
Maraetotara,,5,225,Maraetotara,Waimarama,854,0,0,
Ocean Beach,,5,244,Ocean Beach,Waimarama,2605,0,0,
Kinloch,,14,259,Kinloch,Taupo,2187,0,0,
Two Mile Bay,Taupo,14,274,Two Mile Bay,Taupo,8862,0,0,
Oakura,,12,292,Oakura,Oakura,1070,0,0,
Awatuna,,12,298,Awatuna,Hawera,88,0,0,
Riverlea,,12,317,Riverlea,Hawera,1409,0,0,
Manaia,,12,324,Manaia,Manaia,816,0,0,
Hillsborough,,12,331,Hillsborough,New Plymouth,2347,0,0,
Normanby,Hawera,12,355,Normanby,,1050,0,0,
Purangi,,12,380,Purangi,Tarata,1336,0,0,
Paparangi,,6,435,Paparangi,Whanganui,1200,0,0,
