nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,force,commment
Aramoana,,10,279,Aramoana,Port Chalmers,2482,0,0,
Awarua,,11,436,Awarua,Invercargill,86,,,
Bayswater,,11,349,Bayswater,Otautau,102,,,
Beaumont,,10,74,Beaumont,Lawrence,4055,,,
Birchwood,,11,333,Birchwood,Otautau,125,,,
Blue Mountains,,10,51,Blue Mountains,Tapanui,141,,,
Clifton,,10,76,Clifton,Balclutha,238,,,
Dalefield,,10,621,Dalefield,Queenstown,2147,,,
Ferndale,,11,535,Ferndale,Mataura,376,,,
Georgetown,,10,660,Georgetown,Oamaru,407,,,
Kingston,,11,4,Kingston,Kingston,4094,,,
Kinloch,,10,614,Kinloch,Glenorchy,2350,,,
Lake Hayes Estate,Queenstown,10,686,Lake Hayes,Queenstown,2192,,,
Longbush,,11,463,Longbush,Invercargill,763,,,
Meadowbank,,10,275,Meadowbank,Palmerston,908,,,
Ngapuna,,10,568,Ngapuna,Middlemarch,1030,,,
Nine Mile,,11,501,Nine Mile,Riversdale,1045,,,
Otara,,11,525,Otara,Tokanui,2373,,,
Owhiro,,10,168,Owhiro,Mosgiel,1176,,,
Riversdale,,11,500,Riversdale,Riversdale,1411,,,
Riverside,,10,579,Riverside,Mosgiel,1412,,,
Riverton,,11,355,Riverton/Aparima,Riverton/Aparima,8859,,,
Round Hill,,11,336,Round Hill,Riverton/Aparima,2336,,,
Shannon,,10,148,Shannon,Middlemarch,1482,,,
Springvale,,10,52,Springvale,Alexandra,2458,,,
Tokanui,,11,527,Tokanui,Tokanui,2437,,,
Waikawa,,11,556,Waikawa,Tokanui,8639,,,
Windsor,,10,658,Windsor,Oamaru,1950,,,
Windsor Park,,10,664,Windsor Park,Oamaru,1952,,,
Woodside,,10,153,Woodside,Outram,1908,,,
