nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,comment
Blackhead,,6,235,Blackhead,Porangahau,2608,0,
Blue Mountains,,15,134,Blue Mountains,Upper Hutt,142,,
Dalefield,,15,198,Dalefield,Carterton,277,,
Gladstone,,15,254,Gladstone,Gladstone,416,,
Homewood,,15,282,Homewood,Masterton,2593,,
Kaitoke,,15,350,Kaitoke,Upper Hutt,1191,,
Kaituna,,15,212,Kaituna,Masterton,644,,
Linton Camp,Palmerston North,6,227,Linton,Palmerston North,2016,,
Longbush,,15,224,Longbush,Longbush,764,,
Lower Hutt Central,Lower Hutt,15,95,Hutt Central,Lower Hutt,8803,,
Matahiwi,,15,230,Matahiwi,Masterton,874,,
Ngahape,,15,274,Ngahape,Masterton,1023,,
Ocean Beach,,15,143,Ocean Beach,Ocean Beach,2944,,
Otaki,,15,154,Otaki,Otaki,4000,,
Parkvale,,15,216,Parkvale,Carterton,1221,,
Shannon,,6,194,Shannon,Shannon,4042,,
White Rock,,15,311,White Rock,Martinborough,2584,,
Woodside,,15,189,Woodside,Greytown,1970,,
