1030000038274	E,16,18	South Terrace	Picton (Marlborough, NZ)	29/10/2011 6:50:54 p.m.
1030000038234	O,73,83	Durham Street	Picton (Marlborough, NZ)	29/10/2011 7:22:29 p.m.
1030000038232	B,61,70	Dorset Street	Picton (Marlborough, NZ)	29/10/2011 7:24:01 p.m.
1030000038263	O,123,127	AUCKLAND ST	Picton(Marlborough,NZ)	2012/06/20 21:21	-41.292970,174.005810
1030000038417	O,19,33	E,20,20	WARD ST	Mokihinui(West Coast,NZ)	2013/04/16 23:48	-41.527245,171.934062
1030000038568	E,2,4	BOASE ST	Hector(West Coast,NZ)	2013/04/17 00:09	-41.603270,171.882520
1030000212066	O,89,89	HILLWOOD DR	Wakapuaka(Nelson,NZ)	2013/04/18 09:55	-41.208410,173.366680
1030000039278	E,80,92	SOMERLED AVE	Dunollie, Runanga(West Coast,NZ)	2013/04/24 20:28	-42.392571,171.254278
1030000190901	E,1560,1560	MARUIA WEST BANK RD	Shenandoah(Tasman,NZ)	2013/04/24 23:32	-41.877210,172.246410
1030000058819	E,48,56	ROGERS ST	Port Nelson, Nelson(Nelson,NZ)	2013/05/01 17:37	-41.261600,173.279280
2030000084234	O,29,29	REG COX DR	Seaview(West Coast,NZ)	2013/05/02 14:26	-42.730680,171.010390
1030000039642	E,314,314	MEDWAY RD	Emu Plain(Canterbury,NZ)	2013/05/02 17:06	-42.578720,172.791390
1030000039808	O,1571,1571	LEADER RD W	Lyford(Canterbury,NZ)	2013/05/03 12:49	-42.653130,173.046930
1030000181901	O,1541,1541	LEADER RD E	Ferniehurst(Canterbury,NZ)	2013/05/03 13:11	-42.689220,173.301450
1030000039630	O,73,73	RUSSELL RD	Kaniere, Hokitika(West Coast,NZ)	2013/05/03 17:23	-42.731860,170.998760
1030000037944	E,1180,1180	TYNTESFIELD RD	Waihopai Valley(Marlborough,NZ)	2013/06/07 22:36	-41.591077,173.761604
2030000002454	E,300,300	MONTEBELLO AVE	Stoke, Nelson(Nelson,NZ)	2013/06/16 01:01	-41.325203,173.234315
1030000211268	E,746,746	SPEY FOREST RD	Stag And Spey(Canterbury,NZ)	2013/06/16 17:31	-42.494150,173.353170
1030000038333	E,146,146	Pooles Rd	Kaikoura Flat, Kaikoura(Canterbury,NZ)	2019/04/10 21:44	-42.350100,173.646590
1030000038335	E,3390,3390	Puhi Puhi Rd	Hapuku(Canterbury,NZ)	2019/04/10 21:45	-42.309640,173.718460
1030000059293	O,1071,1071	Brooklyn Valley Rd	Brooklyn(Tasman,NZ)	2019/04/10 22:28	-41.097250,172.941710
1030000038025	E,1454,1454	Maungatapu Rd	Pelorus Bridge(Marlborough,NZ)	2019/04/12 14:26	-41.301990,173.542930
1030000210652	E,92,92	Goldtown Rd	Rutherglen, Greymouth(West Coast,NZ)	2019/04/13 15:48	-42.528570,171.172100
1030000039565	O,1487,1487	Old Christchurch Rd	Awatuna(West Coast,NZ)	2019/04/13 15:56	-42.716320,171.122770
1030000001685	E,76,76	Golf Links Rd	Ruatapu(West Coast,NZ)	2019/06/01 16:10	-42.729750,170.958870
1030000181929	O,271,271	Rotherham Rd S	Amuri Plain(Canterbury,NZ)	2025/05/29 01:41	-42.731940,172.893900
1030000039747	E,32,32	Tekoa St	Waiau(Canterbury,NZ)	2025/06/29 23:48	-42.659300,173.041860
