172.57095,-43.58538,"Halswell, Christchurch",0xa00,0x900,20682
172.5959,-43.3036,Rangiora,0x900,0xa00,19600
172.55685,-43.55267,"Wigram Skies, Christchurch",0xb00,0xa00,10761
172.5444,-43.55079,"Wigram, Christchurch",0xb00,0xa00,10761
172.65257,-43.47721,"Marshland, Christchurch",0xc00,0xb00,5402
172.6656,-43.32177,Woodend,0xc00,0xb00,5357
172.51108,-43.51429,"Yaldhurst, Christchurch",0xd00,0xc00,2331
172.64367,-43.56322,"Beckenham, Christchurch",0xd00,0xc00,2032
172.73705,-43.56071,"Redcliffs, Christchurch",0xd00,0xc00,2007
172.7177,-43.28725,Waikuku Beach,0xd00,0xe00,917
172.75422,-43.57347,"Richmond Hill, Christchurch",0xf00,0xe00,519
171.00872,-42.74662,"Kaniere, Hokitika",0xf00,0xe00,519
172.85133,-42.77117,Culverden,0xf00,0xe00,509
171.96516,-43.48234,Coalgate,0xf00,0xe00,508
172.69922,-43.21079,Balcairn,0xf00,0xe00,504
172.15639,-43.5433,Charing Cross,0xe00,0xf00,484
171.04333,-42.8379,Kokatahi,0xe00,0xf00,476
171.17616,-44.39664,Otipua Creek,0x1000,0xf00,227
171.57827,-44.10667,Lowcliffe,0x1000,0xf00,226
172.68294,-43.46595,"Bottle Lake, Christchurch",0x1000,0xf00,218
170.49882,-44.00916,Tekapo,0x1000,0xf00,209
172.67995,-43.60504,Te Rapaki-o-Te Rakiwhakaputa,0x1000,0xf00,208
170.03587,-44.23943,Ben Ohau,0x1000,0xf00,206
171.52922,-44.14875,Coldstream,0xf00,0x1000,182
171.14015,-42.79805,Lake Kaniere,0xb00,0x1000,141
171.24421,-44.41764,"Redruth, Timaru",0x1100,0x1000,131
171.02363,-43.52796,Ashburton Lakes,0x1100,0x1000,112
172.64845,-43.77796,Ataahua,0x1100,0x1000,109
171.77502,-44.0334,Ashton,0x1100,0x1000,107
171.61572,-43.52528,Mount Hutt,0x1100,0x1000,106
171.22991,-44.44131,Salisbury,0x1100,0x1000,101
172.71849,-43.51429,"Bexley, Christchurch",0x1000,0x1100,88
