178.02309677697505,-38.67211179056942,Customhouse St,Shouldbe: Awapuni,0
174.2736519,-39.5557862,SH3,Shouldbe: Hawera,90
174.04481418896472,-39.17644209448236,Maunga Hts,Shouldbe: Hurworth,492
174.19464365602605,-39.17204849641685,Windsor Rd,Shouldbe: Inglewood,855
176.89061752893488,-39.747512696277134,Kahuranaki Rd,Shouldbe: Kahuranaki,76
176.90262559770218,-39.73852271724262,Walcott Lane,Shouldbe: Kahuranaki,603
176.90888383349983,-39.7334848305033,Walcott Lane,Shouldbe: Kahuranaki,256
176.90280731402765,-39.736805630930185,Walcott Lane,Shouldbe: Kahuranaki,421
176.8164741465355,-39.79671774203411,MacKenzie Rd,Shouldbe: Kahuranaki,900
174.94821979493216,-39.854127381912356,SH3,Shouldbe: Kai Iwi,641
174.92638830965228,-39.84593864512804,SH3,Shouldbe: Kai Iwi,1932
174.95236202761296,-39.85429600218717,SH3,Shouldbe: Kai Iwi,0
174.93596143830968,-39.85387312994419,SH3,Shouldbe: Kai Iwi,565
174.92654627269906,-39.84616718177254,SH3,Shouldbe: Kai Iwi,989
174.9039918,-39.8808224,Handley Rd,Shouldbe: Kai Iwi,2166
174.8924672676827,-39.873027421382126,Handley Rd,Shouldbe: Kai Iwi,1068
174.8916667,-39.872692799999996,Handley Rd,Shouldbe: Kai Iwi,1016
174.91553639999998,-39.886169699999996,Rapanui Rd,Shouldbe: Kai Iwi,1370
174.91508246208681,-39.88612716606406,Rapanui Rd,Shouldbe: Kai Iwi,1400
175.82996232358207,-39.13823578313429,Kaimanawa Rd,Shouldbe: Kaimanawa Forest Park,801
175.82623120864025,-39.13706433216019,Kaimanawa Rd,Shouldbe: Kaimanawa Forest Park,456
174.11447075367713,-39.190989581574534,Hill Rd,Shouldbe: Kaimiro,180
176.9244472,-39.9475384,Te Apiti Rd,Shouldbe: Kairakau,2149
175.08977567218824,-39.95907077994422,SH3,Shouldbe: Kaitoke,3612
175.08058236680628,-39.957604514783846,SH3,Shouldbe: Kaitoke,2896
175.09821147719435,-39.96122716245146,SH3,Shouldbe: Kaitoke,4330
174.44813333047756,-39.71749588795444,SH3,Shouldbe: Kakaramea,0
174.4485142584662,-39.70918464559947,SH3,Shouldbe: Kakaramea,1213
174.4488503,-39.709706999999995,SH3,Shouldbe: Kakaramea,1187
174.4488789,-39.7104097,SH3,Shouldbe: Kakaramea,1171
174.4487644823779,-39.711430583490774,SH3,Shouldbe: Kakaramea,682
175.4423493259186,-39.57543077088415,Rangiora Rd,Shouldbe: Kakatahi,1759
175.4234685131085,-39.62222139938687,Burma Hill Rd,Shouldbe: Kakatahi,3471
175.44981,-39.60175173249752,Whangaehu Valley Rd,Shouldbe: Kakatahi,3498
175.44197275437304,-39.57568492288718,Whangaehu Valley Rd,Shouldbe: Kakatahi,3564
175.45247044724746,-39.54649273700336,Whangaehu Valley Rd,Shouldbe: Kakatahi,3039
175.44996313736894,-39.60121192239996,Kainui Rd,Shouldbe: Kakatahi,2827
175.42528313944183,-39.671897742675725,Mangamahu Rd,"Shouldbe: Kakatahi, Papanui Junction",4543
175.46249552457584,-39.52118403449349,Whangaehu Valley Rd,"Shouldbe: Kakatahi, Tangiwai",3039
175.4530071973714,-39.54631261999316,Owhakura Rd,"Shouldbe: Kakatahi, Tangiwai",0
174.14845,-39.42255381456958,Manaia Rd,Shouldbe: Kaponga,245
174.17090160986606,-39.45080431128243,Palmer Rd,Shouldbe: Kaponga,2337
174.18239324767762,-39.48657186532347,Ahipaipa Rd,Shouldbe: Kapuni,1308
176.8816325,-39.6264187,SH51,Shouldbe: Karamu,1563
176.881909407597,-39.62627671212284,SH51,Shouldbe: Karamu,1374
175.7862480101559,-40.027884957903844,Rangiwahia Rd,Shouldbe: Kimbolton,4011
175.78265803836914,-40.04264480567126,Apiti Rd,Shouldbe: Kimbolton,2940
175.7929900227665,-40.03826433412736,Apiti Rd,Shouldbe: Kimbolton,1480
175.8062488377188,-40.02541524122832,Apiti Rd,Shouldbe: Kimbolton,1404
175.80971958253357,-39.99797544721694,Rangiwahia Rd,Shouldbe: Kimbolton,855
175.78247217432505,-40.04275402060611,Rangiwahia Rd,Shouldbe: Kimbolton,5676
