168.570066772078,-46.5324,Hanson Rd,Shouldbe: Awarua Wetlands,0
170.4535738,-45.8641376,Dalziel Rd,Shouldbe: Halfway Bush,0
170.24833863889,-45.1988451650987,Mundell Rd,Shouldbe: Kokonga,2981
170.274325533386,-45.1973286123163,Mundell Rd,Shouldbe: Kokonga,914
170.248640722197,-45.2033118555605,Kokonga Rd,Shouldbe: Kokonga,5012
169.548983573158,-45.9589264175221,Tuapeka West Rd,Shouldbe: Kononi,7683
169.517312341838,-45.9647147465946,Tuapeka West Rd,Shouldbe: Kononi,10156
169.518248050859,-45.9791735760519,Tuapeka West Rd,Shouldbe: Kononi,10305
170.240532054716,-46.012104927146,Taieri Mouth Rd,Shouldbe: Kuri Bush,4865
170.246928209611,-45.9683995381335,Big Stone Rd,Shouldbe: Kuri Bush,0
170.225614653665,-45.9756539198737,Big Stone Rd,Shouldbe: Kuri Bush,1848
170.230226790436,-46.0239396286922,Taieri Mouth Rd,Shouldbe: Kuri Bush,6297
170.21869007173,-46.0360153958571,Taieri Mouth Rd,"Shouldbe: Kuri Bush, Taieri Mouth",7805
170.241287221474,-45.1392394217634,Ridge Rd,Shouldbe: Kyeburn,0
170.242370293662,-45.1401187152632,SH85,Shouldbe: Kyeburn,3867
170.2415172,-45.1397134,SH85,Shouldbe: Kyeburn,3802
170.256180260499,-45.1472229765351,SH85,Shouldbe: Kyeburn,5152
170.256011749408,-45.1473090154366,Waipiata-Kyeburn Rd,Shouldbe: Kyeburn,3506
170.267191545168,-45.0347186479776,Danseys Pass Rd,Shouldbe: Kyeburn,12530
170.2172911,-45.0915014,Ridge Rd,Shouldbe: Kyeburn,0
170.297817630925,-44.9789775010963,Danseys Pass Rd,"Shouldbe: Kyeburn, Kyeburn Diggings",6568
168.783837933111,-45.0038179331114,Kawarau Heights Blvd,Shouldbe: Lake Hayes,0
168.7849527,-45.0057496,Douglasvale Rise,Shouldbe: Lake Hayes,0
168.784179897084,-45.004461603478,Douglasvale Rise,Shouldbe: Lake Hayes,0
168.781860367256,-45.0028048584194,Jones Ave,Shouldbe: Lake Hayes,0
168.806523708146,-44.9608225611493,Speargrass Flat Rd,Shouldbe: Lake Hayes,4047
168.783814367137,-45.0038063369711,Douglasvale Rise,Shouldbe: Lake Hayes,0
168.8046082,-44.9609488,Speargrass Flat Rd,Shouldbe: Lake Hayes,3914
168.782015642078,-45.0023260939461,Jones Ave,Shouldbe: Lake Hayes,0
168.75495741529,-45.0023690159168,SH6,"Shouldbe: Lake Hayes, Lower Shotover",268
168.763196010451,-44.9682231784862,Speargrass Flat Rd,"Shouldbe: Lake Hayes, Speargrass Flat",1389
168.648026772825,-45.0377778237785,Glenorchy-Queenstown Rd,"Shouldbe: Lake Wakatipu, Queenstown",837
170.627737531033,-45.8645538327276,Camp Rd,Shouldbe: Larnachs Castle,391
169.650195889385,-45.080189644246,SH85,Shouldbe: Lauder,793
169.671904352736,-45.0526878236319,Lauder Rd,Shouldbe: Lauder,1079
169.649610945074,-45.0507207831089,Muddy Creek Rd,Shouldbe: Lauder,0
169.649647824283,-45.0646704323778,Muddy Creek Rd,Shouldbe: Lauder,1431
169.649819468139,-45.0801840582378,Muddy Creek Rd,Shouldbe: Lauder,2096
169.65051039675,-45.9181436113766,Tuapeka Flat Rd,Shouldbe: Lawrence,414
169.708624055191,-45.9244679155192,SH8,Shouldbe: Lawrence,1357
169.697885773434,-45.9210259298402,SH8,Shouldbe: Lawrence,2111
169.7073838,-45.9138808,Bloy Rd,Shouldbe: Lawrence,307
169.726797958575,-45.9346204647427,SH8,Shouldbe: Lawrence,0
169.7077785,-45.9159673,Bloy Rd,Shouldbe: Lawrence,538
169.717586753205,-45.9279009967538,SH8,Shouldbe: Lawrence,330
170.127109295707,-45.8000650723258,SH87,Shouldbe: Lee Stream,3171
170.129056921307,-45.8032269889209,SH87,Shouldbe: Lee Stream,2716
170.135362194421,-45.8091795633834,SH87,"Shouldbe: Lee Stream, Woodside",770
170.506064651794,-45.8265877660523,Leith Valley Rd,Shouldbe: Leith Valley,775
170.499634634324,-45.832666269682,Leith Valley Rd,Shouldbe: Leith Valley,0
170.501017875274,-45.8319619898463,Leith Valley Rd,Shouldbe: Leith Valley,65
170.505638170442,-45.8233073182333,Leith Valley Rd,Shouldbe: Leith Valley,1092
167.599102761991,-45.9811669917928,Lillburn Valley Rd,Shouldbe: Lillburn,5615
167.629880985088,-45.9909023555023,Lillburn Valley Rd,Shouldbe: Lillburn,3626
167.604134762873,-45.9833806126597,Lillburn Valley Rd,Shouldbe: Lillburn,10623
167.668578446045,-46.006953313757,Lillburn Valley Rd,"Shouldbe: Lillburn, Rowallan",1224
168.33728,-46.0658664,Avon Rd,Shouldbe: Limehills,507
168.3372798,-46.0615034,Avon Rd,Shouldbe: Limehills,0
169.397294386578,-45.2605782831812,Graveyard Gully Rd,Shouldbe: Little Valley,127
170.58117468405,-44.9597551705885,Livingstone-Duntroon Rd,Shouldbe: Livingstone,9917
170.589329498255,-45.0099660944166,Balmoral Rd,Shouldbe: Livingstone,480
168.331479921174,-46.1983677439056,Lochiel Branxholme Rd,Shouldbe: Lochiel,7471
168.3934586,-46.2203953,Fraser Rd,Shouldbe: Lochiel,0
168.3935194,-46.2400332,Fraser Rd,Shouldbe: Lochiel,0
168.3713492,-46.2049147,Norman Rd,Shouldbe: Lochiel,0
168.3500048,-46.1836297,Thomsons Crossing Rd E,Shouldbe: Lochiel,0
168.371516,-46.1835992,Thomsons Crossing Rd E,Shouldbe: Lochiel,0
168.396037719657,-46.1835203622455,Gill Rd,Shouldbe: Lochiel,2143
168.3411206,-46.2287945,SH6,Shouldbe: Lochiel,6835
168.307272961298,-46.2402381087605,Lochiel Branxholme Rd,Shouldbe: Lochiel,2312
168.314581456896,-46.2366811464033,Lochiel Branxholme Rd,Shouldbe: Lochiel,3652
168.318761526609,-46.2269402445586,Lochiel Branxholme Rd,Shouldbe: Lochiel,3977
168.329550554411,-46.2054633058646,Lochiel Branxholme Rd,Shouldbe: Lochiel,5066
168.302990386477,-46.2053028989624,Lochiel Bridge Rd,Shouldbe: Lochiel,672
168.34112,-46.2267879,SH6,Shouldbe: Lochiel,6636
168.340563648156,-46.205493771487,SH6,Shouldbe: Lochiel,4247
168.331580731909,-46.1983899134434,SH6,Shouldbe: Lochiel,3477
168.330913269616,-46.1958853039885,SH6,"Shouldbe: Lochiel, Thomsons Crossing",3212
169.523838125576,-46.332063498837,Lochindorb Runs Rd,Shouldbe: Lochindorb,8996
170.645824,-45.7543748,Beach Rd,Shouldbe: Long Beach,246
170.6425148,-45.7553784,Driver St,Shouldbe: Long Beach,66
170.644205610169,-45.7523210555773,Beach Rd,Shouldbe: Long Beach,32
170.644714905831,-45.7582320668565,Driver St,Shouldbe: Long Beach,47
170.647236139572,-45.7558663793842,Beach Rd,Shouldbe: Long Beach,0
170.643003099305,-45.7562346011338,Driver St,Shouldbe: Long Beach,21
170.642540085132,-45.7553520324904,Mihiwaka Rd,Shouldbe: Long Beach,67
168.50584081671,-46.3745810185529,Longbush South Rd,Shouldbe: Longbush,3220
168.5059308,-46.3886516,Longbush South Rd,"Shouldbe: Longbush, Rimu",1978
168.6387503,-45.8549889,Sandstone Kingston Crossing Rd,Shouldbe: Longridge,1831
