173.27484,-42.45473356461783,Inland Kaikoura Rd,Shouldbe: Stag And Spey,20062
173.23612049849478,-42.48392187041084,Inland Rd,"Shouldbe: Lyford, Stag And Spey",20171
172.69392836939133,-41.63208035174997,SH6,Shouldbe: Glenhope,20625
171.3311027263944,-42.18873027287436,SH6,Shouldbe: Barrytown,21114
172.68126322676932,-41.64094216472477,SH6,Shouldbe: Glenhope,22040
172.66067620406304,-41.642580942499606,SH6,Shouldbe: Glenhope,23225
171.3323475219128,-42.16405414262733,SH6,Shouldbe: Barrytown,23766
173.18700498943676,-42.49218022743782,Inland Rd,"Shouldbe: Lyford, Stag And Spey",23797
172.65164454895503,-41.64779190546618,Moonlight Rd,Shouldbe: Glenhope,23878
172.65163625755562,-41.647821510444466,Moonlight Rd,Shouldbe: Glenhope,24146
172.65217413958032,-41.64806261556567,SH6,"Shouldbe: Glenhope, Kahurangi National Park",24146
172.65083281338258,-41.64866662805722,Moonlight Rd,Shouldbe: Glenhope,24161
171.3305883817303,-42.15551914927502,SH6,"Shouldbe: Barrytown, Punakaiki",24615
172.6455447946796,-41.65313615222212,SH6,"Shouldbe: Glenhope, Kahurangi National Park",24880
173.9263413,-42.1552781,SH1,Shouldbe: Clarence,24925
173.926325,-42.1552899,Railway Access,Shouldbe: Clarence,24975
173.9178753,-42.1560423,SH1,Shouldbe: Clarence,24975
173.9155031,-42.1562579,SH1,Shouldbe: Clarence,25187
173.90987503863977,-42.16283242377373,SH1,"Shouldbe: Clarence, Waipapa Bay",25248
170.98006024078717,-42.7027847021416,Sports Ground Entrance,Shouldbe: Seaview,25750
172.3978340359946,-42.40475133033378,"",Shouldbe: Lewis Pass,25926
172.39785138938356,-42.40470831849352,SH7,Shouldbe: Lewis Pass,25926
172.68634792856403,-40.60096317142561,Walkway,"Shouldbe: Golden Bay / Mohua, Pakawau",25964
173.8323325673065,-42.24434690120388,SH1,"Shouldbe: Half Moon Bay, Waipapa Bay",26068
172.39891401704793,-42.40075062509069,SH7,Shouldbe: Lewis Pass,26242
173.48442390601048,-41.705087222604,Waihopai Valley Rd,Shouldbe: Waihopai Valley,26563
171.3302323757332,-42.129673360254095,SH6,"Shouldbe: Paparoa National Park, Punakaiki",27393
173.1528870615044,-42.50801072689814,Inland Rd,Shouldbe: Lyford,27927
171.33095067552142,-42.12469912852886,SH6,"Shouldbe: Paparoa National Park, Punakaiki",27951
171.3319581934515,-42.12441329626696,SH6,Shouldbe: Punakaiki,28002
171.33263985476725,-42.12352816740515,SH6,"Shouldbe: Pancake Rocks, Paparoa National Park, Punakaiki",28101
171.32963042342743,-42.115331999544956,SH6,"Shouldbe: Pancake Rocks, Paparoa National Park, Punakaiki",28927
173.3870598737957,-41.61355083434295,SH63,Shouldbe: Wairau Valley,29278
173.4690549425418,-41.72985606420252,Waihopai Valley Rd,Shouldbe: Waihopai Valley,29296
172.6169591,-41.6896515,Kawatiri Walkway,Shouldbe: Glenhope,29436
172.61683233529436,-41.6878371583659,Kawatiri Walkway,Shouldbe: Glenhope,29436
172.61784137907563,-41.69288552310902,Kawatiri Walkway,Shouldbe: Glenhope,29593
173.09892210902612,-42.58881437593039,Inland Rd,"Shouldbe: Lyford, Waiau",31034
173.77010226399466,-42.2790068701167,SH1,"Shouldbe: Half Moon Bay, Half Moon Bay, Seaward Valley",36598
173.08733043595083,-42.60873897003553,Inland Rd,Shouldbe: Waiau,38151
173.0730942564879,-42.61919937206582,Inland Rd,Shouldbe: Waiau,39845
173.06671043721443,-42.632473004569356,Inland Rd,Shouldbe: Waiau,41378
173.04730736731656,-42.6487363274175,Inland Rd,Shouldbe: Waiau,42484
173.23798304099464,-41.65746465809262,SH63,Shouldbe: Wairau Valley,42627
173.20340067091934,-41.665266321664774,SH63,Shouldbe: Wairau Valley,45655
173.1935961,-41.667972199999994,SH63,Shouldbe: Wairau Valley,46531
173.190705761989,-41.669581243339444,SH63,"Shouldbe: St. Arnaud, Wairau Valley",46569
173.25932144401858,-42.09014328252104,MOLESWORTH RD (open Labour Day to Easter),"Shouldbe: Awatere Valley, Clarence, Saint James Range",59178
172.94011618475344,-41.77198753838033,SH63,Shouldbe: St. Arnaud,70160
172.93294003923015,-41.773811691774604,SH63,Shouldbe: St. Arnaud,70783
172.91844728840698,-41.77727964793739,SH63,"Shouldbe: Nelson Lakes National Park, St. Arnaud",72043
172.9002141,-41.7833012,SH63,Shouldbe: St. Arnaud,73706
172.89363939999998,-41.785416500000004,SH63,Shouldbe: St. Arnaud,74301
172.88864547227013,-41.78707269266286,Kehu Lane,Shouldbe: St. Arnaud,74749
172.88826973347292,-41.78717907186601,SH63,Shouldbe: St. Arnaud,74759
173.07415079579354,-42.19785505373855,Pudding Hill Track Access,Shouldbe: Awatere Valley,78522
173.01828783955952,-42.29933826002753,River Access,"Shouldbe: Awatere Valley, Clarence",87711
172.96348446195447,-42.38723220709364,River Access,Shouldbe: Saint James Range,96908
172.95820767558084,-42.39784943814136,River Access,Shouldbe: Saint James Range,97128
172.95571156378946,-42.39662978114832,MOLESWORTH RD (open Labour Day to Easter beyond gate),"Shouldbe: Hanmer Springs, Saint James Range",98006
172.9555879159175,-42.39548527727834,Walkway,Shouldbe: Saint James Range,98032
172.9522301729445,-42.396058521721194,Walkway,Shouldbe: Saint James Range,98095
