23 entries in ..\..\LinzDataService\PaperRoads\Central-WrongSide.txt
162 entries in ..\..\LinzDataService\PaperRoads\Central-LINZWrongSide.txt
161 wrongside numbers, 39 not in Exclusion files
4 entries in Ignore list are no longer on the wrong side
630775	1A Reeve Drive	2015/04/12 18:28	-39.671535,176.899066
622902	2 Crosses Road	2015/04/14 19:53	-39.661864,176.883372
1670412	586 Umutoi North Road	2015/04/14 19:46	-39.986578,176.005201
1547939	5B MARYBANK ROAD	2014/03/28 07:06	-39.957364,175.066580

59 entries in Linz list are no longer on the wrong side
1635549	1130 East Road	2015/04/14 03:43	-39.322066,174.416052
608656	709 Gibraltar Road	2015/04/14 02:43	-40.146561,176.841064
1560784	9 Dawson Street	2015/04/15 13:47	-39.462829,175.677773
1560786	11 Dawson Street	2015/04/15 13:47	-39.462671,175.677953
638007	526 Clifton Road	2015/04/12 19:08	-39.638869,177.000657	This point is out at sea!
636683	236 Mill Road	2015/04/14 19:53	-39.604845,176.927519
1558651	1986 Taihape Road	2015/04/14 03:58	-39.503747,176.591253
647106	84 Charlotte Street	2015/04/12 17:13	-40.030488,176.347441
945205	135 RIMU ROAD	2014/04/13 07:56	-38.772397,175.033767
1645894	621 ACACIA BAY ROAD	2014/03/31 22:32	-38.695210,176.039709
1668018	114 Highway 50	2015/04/14 03:31	-39.795519,176.467396
617071	749 Clareinch Road	2015/04/14 02:42	-40.032315,176.858036
1625604	1951 Mangapoike Road	2015/04/12 15:04	-38.912743,177.552406
1560778	3 Dawson Street	2015/04/15 13:48	-39.463393,175.677551
1064600	1813 State Highway  1	2015/04/14 04:47	-40.042392,175.440085
899950	660 Moki Road	2015/04/14 19:57	-38.978840,174.753089
899570	584 Mohakau Road	2015/04/11 22:38	-39.227607,174.528333
596271	859 Farm Road	2015/04/14 02:57	-40.044307,176.616262
1469966	4288 Taihape Road	2015/04/11 22:20	-39.434187,176.429799
1604206	1498 State Highway  4	2015/04/14 03:50	-39.546595,175.296146
1603828	470 Murumuru Road	2015/04/14 03:52	-39.292782,175.158802	Either 470 or 473 is wrong...
1667759	201 River Road	2015/04/14 03:34	-39.954529,176.688899
895439	130 Cornwall Road	2015/04/14 02:16	-39.406022,174.287563
1522656	1222 Otuarei Road	2015/04/14 04:00	-39.622484,175.998211
571108	2802 Mangapoike Road	2015/04/12 15:05	-38.902355,177.605145
899817	987 Mangaehu Road	2015/04/11 19:08	-39.331042,174.612280
571086	2804 Mangapoike Road	2015/04/12 15:05	-38.901995,177.604965
1560793	18 Dawson Street	2015/04/15 13:47	-39.462465,175.678654
1441337	918 Santoft Road	2015/04/14 04:19	-40.141109,175.239561
1667757	203 River Road	2015/04/14 03:34	-39.953971,176.689924
1560775	1A Dawson Street	2015/04/15 13:48	-39.463680,175.677556
899831	1110 Mangaehu Road	2015/04/11 19:09	-39.324035,174.616238
526247	1 Stouts Road	2015/04/14 19:51	-39.469720,175.592505
1560824	2 Paterson Place	2015/04/14 19:40	-39.460885,175.677810
1560791	16 Dawson Street	2015/04/15 13:47	-39.462525,175.678435
1473528	1012 Acacia Bay Road	2015/04/14 19:31	-38.719901,176.022088	between 941 and 949.
898574	330 Toko Road	2015/04/14 02:13	-39.348747,174.423368
1560782	7 Dawson Street	2015/04/15 13:48	-39.463003,175.677652
593342	1670 Porangahau Road	2015/04/14 03:13	-40.125967,176.532427
1765724	20 Mareti Street	2015/04/12 00:53	-38.681623,176.061871
1572541	1650 Brunswick Road	2015/04/11 22:57	-39.833679,174.950936
1560780	5 Dawson Street	2015/04/14 19:34	-39.463193,175.677589	Your data seems to have an offset here - maybe 50m out to the ENE. Your roads and addresses are consistent, but the numbers are out for us when the roads are moved to where GPS says they should be. This north section of the camp is worst.
1753344	327 Raetihi Ohakune Road	2015/04/14 03:17	-39.430140,175.319358
1849926	201 Huka Falls Road	2015/04/12 01:02	-38.657972,176.083104
650375	2 Onslow Street West	2015/04/14 02:24	-39.862065,175.707149
617115	155 Kaimata Road	2015/04/14 02:40	-39.403010,176.866925
1440966	39 Lake Alice Road	2015/04/14 04:21	-40.121025,175.319914
1600638	424 Akama Road	2015/04/14 03:54	-39.249821,174.542183
1377130	223 River Road	2015/04/14 03:34	-39.953475,176.691070
1377131	225 River Road	2015/04/14 03:34	-39.952974,176.692216
636949	524 Te Apiti Road	2015/04/14 02:34	-39.912244,176.941219
1573718	538 Pukekaha Road	2015/04/14 03:56	-39.331640,175.265023
1843981	975 Te Aute Trust Road	2015/04/14 03:16	-39.863368,176.693049
1560776	1B Dawson Street	2015/04/15 13:48	-39.463560,175.677567
1766809	1098 Makuri Road	2015/04/14 03:16	-39.248685,174.464447
1559630	2505 Highway 50	2015/04/12 01:47	-39.965482,176.333534
1355068	156 Kaimata Road	2015/04/14 02:40	-39.403409,176.867091
1522613	202 Omatane South Road	2015/04/14 04:01	-39.746900,175.915075
484910	41 LONGACRE ROAD	2014/03/28 15:30	-39.905546,175.104381

