1 entries in ..\..\LinzDataService\PaperRoads\Northland-WrongSide.txt
140 entries in ..\..\LinzDataService\PaperRoads\Northland-LINZWrongSide.txt
102 wrongside numbers, 23 not in Exclusion files
62 entries in Linz list are no longer on the wrong side
929497	1214 PAPAROA-OAKLEIGH ROAD	2013/12/22 11:10	-35.948590,174.294070
916297	1993 SH 12	2013/12/14 17:01	-35.842532,173.758275
1344523	505 WEST COAST ROAD	2013/12/14 16:12	-35.038887,173.171036
1484490	4 HAZELMERE STREET	2013/12/14 21:25	-36.298924,174.522883
1375134	29-31 SANDY BEACH ROAD	2013/12/16 22:26	-36.254868,174.243616
1762224	994 BABYLON COAST ROAD	2014/05/04 12:29	-35.898843,173.724576
1539325	797B TINOPAI ROAD	2013/12/16 22:51	-36.189645,174.156238
1359561	4 JOHNSON LANE	2013/12/14 15:59	-35.281246,174.058569	Numbers are all over the place on this road...
917824	1208 SH 12	2013/12/14 17:03	-35.895680,173.805523
916301	2057 SH 12	2013/12/14 17:01	-35.837313,173.755574
1344529	517 WEST COAST ROAD	2013/12/14 16:12	-35.039396,173.170404
1692385	46 ORURU ROAD	2013/10/24 15:10	-34.999876,173.464326
1313024	605A-605C PAUA ROAD	2013/12/22 16:44	-34.539889,172.924173	These two are ones where the whole lot seems shifted
1554641	588 TAUHOA ROAD	2013/12/14 15:36	-36.381093,174.508800
1359562	7 JOHNSON LANE	2014/05/04 12:49	-35.281368,174.058543	A seemingly randomly allocated road. I may have reported this one before.
918961	12A SECOND AVENUE	2013/12/17 12:43	-35.930570,173.874159
925034	1308 GIRLS HIGH SCHOOL ROAD	2013/12/17 13:05	-35.904736,174.093917
1516079	162 ASHTON ROAD	2013/12/14 15:16	-36.303107,174.762638
919749	1133 REDHILL ROAD	2013/12/14 18:07	-36.060439,173.868062	On the other side to 1133A?
1137788	243A MOUNTAIN ROAD	2013/12/16 00:31	-36.137541,174.409864	And all the rest (letters)
1525950	515 WEST COAST ROAD	2013/12/14 16:12	-35.039306,173.170499
1603491	250 PARAKIORE ROAD	2013/12/14 16:24	-35.657777,174.282660
947449	1783 SH  1	2013/12/16 00:17	-36.177180,174.449620
1475865	101 GREENSIDE ROAD	2014/05/04 12:46	-36.266462,175.508781
925036	1332 GIRLS HIGH SCHOOL ROAD	2013/12/17 13:06	-35.902541,174.093093
1517201	180 KRAACK ROAD	2013/12/14 15:35	-36.373608,174.609444
927225	1745B TINOPAI ROAD	2013/12/16 22:30	-36.241720,174.229012
927365	333 MOONEY ROAD	2013/12/16 23:44	-36.134341,174.252504
1341289	7 TAMATEA ROAD	2013/12/14 16:10	-35.004810,173.255410
1350586	424 WHANGAROA ROAD	2013/10/22 16:57	-35.055631,173.744731
927035	468 PAHI ROAD	2013/12/16 23:35	-36.144201,174.223764
927487	834 CENTRAL ROAD	2013/12/22 11:13	-35.986694,174.261967
916299	2013 SH 12	2013/12/14 17:01	-35.840170,173.757843
915750	1753 BABYLON COAST ROAD	2013/12/14 16:49	-35.865169,173.668793
923963	2980 SH 14	2013/12/22 10:54	-35.822889,174.056513
1364837	398 WAKELIN ROAD	2013/10/22 11:46	-35.278859,173.998509
1344524	509 WEST COAST ROAD	2013/12/14 16:12	-35.039068,173.170808
1343184	738 KAIMAUMAU ROAD	2013/10/24 17:32	-34.923245,173.255223
1729820	1530 OROMAHOE ROAD	2013/10/22 11:45	-35.315734,173.976315
917868	870 SH 12	2013/12/14 17:02	-35.921393,173.820757
947450	1785 SH  1	2013/12/16 00:17	-36.175777,174.449657
927034	467 PAHI ROAD	2013/12/16 23:35	-36.144242,174.223113
1345370	196A-196B WAIHAPA ROAD	2013/10/22 16:50	-35.088031,173.683597
916296	1981 SH 12	2013/12/14 17:01	-35.843725,173.758622
916298	1999 SH 12	2013/12/14 17:01	-35.842076,173.758265
1539334	797A TINOPAI ROAD	2013/12/16 22:51	-36.188750,174.156797
1344526	513 WEST COAST ROAD	2013/12/14 16:12	-35.039217,173.170616
922631	4 MARSHALL STREET	2013/12/14 12:35	-35.386470,174.012658
926732	1213 OTAKAIRANGI ROAD	2013/12/14 16:22	-35.629119,174.196187
925035	1326 GIRLS HIGH SCHOOL ROAD	2013/12/17 13:05	-35.903032,174.093253
916302	2061 SH 12	2013/12/14 17:02	-35.836437,173.755343
1586022	578 SH 10	2013/10/24 15:06	-34.994994,173.464010
917915	339 MAHUTA ROAD	2013/12/14 17:08	-36.017707,173.826435
927279	2967 PAPAROA-OAKLEIGH ROAD	2013/12/16 23:49	-36.077263,174.244071
916300	2047 SH 12	2013/12/14 17:01	-35.837834,173.755995
1355266	314 PURIRI BLOCK ROAD	2013/10/22 17:30	-35.047077,173.333598
927224	1745A TINOPAI ROAD	2013/12/16 22:30	-36.241493,174.228691
919748	1126 REDHILL ROAD	2013/12/14 18:07	-36.059904,173.868850	Opposite side to others on the road anyway.
1344530	519 WEST COAST ROAD	2013/12/14 16:13	-35.039554,173.170223
918962	12B SECOND AVENUE	2013/12/17 12:43	-35.930372,173.874113
1344525	511 WEST COAST ROAD	2013/12/14 16:12	-35.039138,173.170724
947414	1798 SH  1	2013/12/16 00:17	-36.174604,174.448598

