Start = 2024-10-15 23:58:59 +1300
#############################

61 LINZ ids are missing from NZOGPS Auckland
;linzid=3084910	Sir Noel Robinson Pl	-36.9417932333,174.8700386833
;linzid=3084896	Koanga Rd	-36.611668770619,174.653806156119
;linzid=3084904	Tuhana Lane	-36.9376028964403,174.875624770918
;linzid=3084728	Pohutukawa Lane	-36.6335742871622,175.57641624987
;linzid=3084736	Rua Hills Pde	-36.8199171836924,174.597054255783
;linzid=3084737	Laine Tipi Ave	-36.8211175466597,174.597911657903
;linzid=3084738	Aodh Farm Dr	-36.8211175466597,174.597911657903
;linzid=3084739	Hauhake Rd	-36.9007586454595,174.624288918517
;linzid=3084740	Pohatu Lane	-36.9003925590453,174.623801176142
;linzid=3084741	Pepeke Cl	-36.9009846185607,174.624052846409
;linzid=3084742	Otaota Crt	-36.9007171125529,174.625035385503
;linzid=3084743	Whiowhio Pl	-36.9016561581689,174.624793351169
;linzid=3084751	Te Ara Wai	-36.9663708581324,174.834768154627
;linzid=3084768	Puia St	-36.9639810468331,174.853820199485
;linzid=3084772	Victorian Cres	-36.9859788332385,174.924210139063
;linzid=3084784	Wahapu Lane	-36.804902805174,174.664675979997
;linzid=3084825	Ligurian Lane	-36.9775839828826,174.937312247822
;linzid=3084826	Versilia Lane	-36.9776816054868,174.938290232536
;linzid=3084837	Furlong Ave	-36.8901026547326,174.811614912213
;linzid=3084839	Great Northern Tce	-36.8885277002477,174.810312441203
;linzid=3084840	Kiatere Lane	-36.8891380632315,174.810503179636
;linzid=3084838	Eke Hoihi Cres	-36.8908659301122,174.810767732141
;linzid=3084841	Hihiko Cl	-36.8894725672107,174.810785417722
;linzid=3084843	Tawhai Lane	-36.8905495276314,174.811173488984
;linzid=3084842	Piki Ake Rise	-36.8905495276314,174.811173488984
;linzid=3084857	Taikato Rd	-37.0984228332244,174.927573578406
;linzid=3084848	Liane Ngamane Rd	-36.8866575711318,174.84769123
;linzid=3084849	Whareponga Lane	-36.8857202796756,174.847812386924
;linzid=3084850	Ngarahu Lane	-36.8860391341829,174.846747497145
;linzid=3084846	Marutuahu Rd	-36.8864367212152,174.847354213716
;linzid=3084852	Puhata Way	-36.8852523651552,174.847008697856
;linzid=3084851	Morehu Wilson Rd	-36.8852523651552,174.847008697856
;linzid=3084847	Hauauru Dr	-36.8868876230178,174.846908841319
;linzid=3084853	Warenga Lane	-36.885627665765,174.846119597623
;linzid=3084854	Te Aranui Lane	-36.8864367212152,174.847354213716
;linzid=3084855	Te Taiheke Rd	-37.0984908437893,174.928233280886
;linzid=3084856	Taiheru Rd	-37.0996580709004,174.927566452392
;linzid=3084858	Ranutai Rd	-37.0971388679788,174.92755787804
;linzid=3084859	Taierua Rd	-37.0996580709004,174.927566452392
;linzid=3084860	Kaiao Pl	-36.6918580265947,174.718146096096
;linzid=3084868	Neinei St	-36.8156936194355,174.591445741899
;linzid=3084882	Aukaha Lane	-36.789482985528,174.664714303402
;linzid=3084883	Rauawa Lane	-36.7897725550109,174.665302387339
;linzid=3084884	Manawa Bay Dr	-36.9955106917199,174.799220789705
;linzid=3084898	Ngahuru Rd	-36.6110770704651,174.657094115509
;linzid=3084897	Hotoke Rd	-36.6110770704651,174.657094115509
;linzid=3084899	Pinnacles Lane	-37.03968391209,175.843847367311
;linzid=3084906	Reitu Rise	-36.8913306352304,174.841389337184
;linzid=3084907	Koinaki Rd	-36.8906548933086,174.839621395348
;linzid=3084905	Hochstetter Pl	-36.891244983138,174.841352273481
;linzid=3084908	Kohatu St	-36.8906887173936,174.839057148403
;linzid=3084909	Sarsen Pl	-36.8916644231756,174.837698429176
;linzid=3084924	Kanorau Way	-36.8033678666249,174.659152885953
;linzid=3084926	Wavecrest Lane	-36.8051566594081,174.661988251747
;linzid=3084925	Sails Rd	-36.8048923841638,174.661338678016
;linzid=3084927	Tiller St	-36.8051566594081,174.661988251747
;linzid=3084939	Glenburn Rd	-36.8014727941258,174.655699409564
;linzid=3084938	Pipeworks Dr	-36.8019967781058,174.655125972138
;linzid=3084940	Firebrick Way	-36.8019967781058,174.655125972138
;linzid=3084946	Cyril Bennett Lane	-36.8686788133765,174.852134658376
;linzid=3084947	Hita Lane	-36.8742489667,174.87511465
#############################

2 LINZ ids are in NZOGPS Auckland but missing from LINZ
;linzid=3074023	Walkway	-36.90219,174.62416
;linzid=3074771	Walkway	-36.91986,174.64143
#############################

0 Number range ids are missing from NZOGPS Auckland
#############################

0 Number range ids are in NZOGPS Auckland but missing from LINZ
#############################

Finish = 2024-10-15 23:59:05 +1300
Processing time = 6.187005
