Start = 2024-08-20 15:48:57 +1200
#############################

63 LINZ ids are missing from NZOGPS Canterbury
;linzid=3079720	Gold Valley Rd	-43.7070990510647,172.652569302629
;linzid=3084460	Seaview Pl	-43.2364696177589,172.592383893088
;linzid=3084466	Bruce Stewart Dr	-43.5568632960422,172.500930460927
;linzid=3084467	Revolution Dr	-43.5568632960422,172.500930460927
;linzid=3084468	Blimit Cl	-43.6430494696628,172.50422190167
;linzid=3084469	Case St	-43.6191498652258,172.393945571457
;linzid=3084471	Camborne Rd	-43.6178293687727,172.39875851325
;linzid=3084472	Ashurst Cres	-43.6163073598908,172.396459426061
;linzid=3084473	Arley St	-43.6163073598908,172.396459426061
;linzid=3084470	Farmall Lane	-43.6186874012897,172.395028418747
;linzid=3084481	Frank Lane	-43.159985330637,172.740771378793
;linzid=3084479	Roach Lane	-43.1614065848707,172.7392072935
;linzid=3084478	Benn St	-43.1615052840138,172.739026912307
;linzid=3084480	Greig Cres	-43.159985330637,172.740771378793
;linzid=3084482	MacKinnon St	-43.482183662229,172.674006394345
;linzid=3084483	Creekside Dr	-43.5836440520356,172.556024115927
;linzid=3084485	McKain Lane	-43.9174952670616,171.75419073939
;linzid=3084488	Blackfriars Lane	-43.4935519267232,172.129632826618
;linzid=3084492	Bittern Creek Rd	-42.8150822399802,170.894566009893
;linzid=3084496	Corravally Rise	-43.5353677107203,172.380639770527
;linzid=3084495	Dorper Rd	-43.5318820584355,172.378681802858
;linzid=3084497	Letelle St	-43.5330639887064,172.38089158326
;linzid=3084498	Panama Cres	-43.5347759562647,172.382417339263
;linzid=3084516	Hunnibell Lane	-43.303682652251,172.593090706976
;linzid=3084533	Kopper Cres	-43.4716017559353,172.643740830029
;linzid=3084532	Accrington Dr	-43.4714612946844,172.642194317213
;linzid=3084534	Rogal Cl	-43.4722070601601,172.641986756107
;linzid=3084536	Jasmine Cl	-43.6214163613357,172.374315287358
;linzid=3084538	Privet Way	-43.6229786197463,172.370699310808
;linzid=3084539	Warwick Lane	-43.6255570107969,172.386018222836
;linzid=3084540	Isaacs Lane	-43.6254708565127,172.387427838795
;linzid=3084548	Lorenzos Lane	-43.596714977688,172.565897707565
;linzid=3084565	Daffodil Lane	-43.3789050882358,172.638311321215
;linzid=3084564	Poppy Lane	-43.3789050882358,172.638311321215
;linzid=3084567	Endacott Lane	-43.3774892510515,172.642487355423
;linzid=3084570	Emily Knowles Dr	-43.5721488995892,172.607559086108
;linzid=3084592	Norris Watson Dr	-43.5735750643892,172.390028670481
;linzid=3084601	Gulati Lane	-43.489960037598,172.650559849437
;linzid=3084602	Rosevale Cl	-43.4923971595641,172.635783627241
;linzid=3084650	Samantha Lawry Rd	-43.5559359082207,172.539418698379
;linzid=3084653	Kay Way	-43.7526141333,172.01743375
;linzid=3084654	Temple Lane	-43.9171383575649,171.754734584009
;linzid=3084687	Peach Lane	-43.3199155267664,172.66971148202
;linzid=3084686	Clarke Rd	-43.3199155267664,172.66971148202
;linzid=3084537	Arbor Green Blvd	-43.6230053896448,172.375705713741
;linzid=3084690	Eccles Pl	-43.5851254433861,172.57788285779
;linzid=3084701	Corry Lane	-43.6172073916338,172.377324634983
;linzid=3084710	Morrison Ave	-43.9035798386735,171.777099563282
;linzid=3084711	Potters Pl	-43.9028101344382,171.776399597939
;linzid=3084712	Lodge Lane	-43.9028101344382,171.776399597939
;linzid=3084758	Joblin St	-43.4969055665432,172.120649983146
;linzid=3084759	Buxus Way	-43.6226210681583,172.375386165539
;linzid=3084760	Liana Lane	-43.6224679637021,172.375761966594
;linzid=3084761	Shrubbery Lane	-43.6224679637021,172.375761966594
;linzid=3084765	Larch Dr	-43.6189280500645,172.375920853987
;linzid=3084766	Scots Dr	-43.6182380245392,172.375146258205
;linzid=3084767	Maple Lane	-43.618924693218,172.375915445735
;linzid=3084773	Dan St	-43.4814070082118,172.676385933309
;linzid=3084774	Eyles St	-43.4814600099727,172.675501654543
;linzid=3084776	McGrath Lane	-43.2984031956278,172.607384121738
;linzid=3084778	Don Peebles Way	-43.4577179113264,172.634497869691
;linzid=3084780	Paula Jane Lane	-43.5347759562647,172.382417339263
;linzid=3084782	Korimako Cres	-43.616477638793,172.413570175127
#############################

1 LINZ ids are in NZOGPS Canterbury but missing from LINZ
;linzid=3084102	Little Sam Way	-43.62548,172.38333
#############################

0 Number range ids are missing from NZOGPS Canterbury
#############################

0 Number range ids are in NZOGPS Canterbury but missing from LINZ
#############################

Finish = 2024-08-20 15:49:02 +1200
Processing time = 5.140889
