Start = 2024-10-14 23:03:43 +1300
#############################

45 LINZ ids are missing from NZOGPS Northland
;linzid=3078504	Rosalinda Rd	-36.3992757807647,174.607853822347
;linzid=3084525	Pukeora Way	-36.1183773812971,174.56762908132
;linzid=3084526	Tiromoana Way	-35.1284251664043,173.18481827053
;linzid=3084527	Korari Pl	-35.4036318125877,173.502123654544
;linzid=3084484	Sawgrass Rise	-35.6839950616599,174.311738523919
;linzid=3084562	Oak Rise	-35.2364839667,173.9330261
;linzid=3084566	Meridian Dr	-35.1889720634352,173.967959267825
;linzid=3084568	Te Waerenga Dr	-35.42120185,174.07081595
;linzid=3084577	Morepork Lane	-35.7397304167,174.28695585
;linzid=3084578	Saddleback Lane	-35.7387591203433,174.285385713551
;linzid=3084580	Blythen Cres	-36.3799557302593,174.658575066836
;linzid=3084579	Mokomoko Ave	-36.3813311350753,174.657583327574
;linzid=3084581	Wharariki Cres	-36.3792064965832,174.657156228183
;linzid=3084583	Pa Tuna Lane	-36.3816568888475,174.656750845711
;linzid=3084584	Jacks Lane	-36.3786382372251,174.657590566546
;linzid=3084585	Sentinel Cres	-36.3813311350753,174.657583327574
;linzid=3084582	Blackwell Lane	-36.3792788917618,174.654590810694
;linzid=3084600	McKenzie Crt	-35.9786497877333,174.442358502342
;linzid=3084616	Greenfields Way	-35.207963343842,173.940127837501
;linzid=3084617	Te Puna Wai Lane	-35.3916838667,173.8057185167
;linzid=3084640	Papa Totara Loop	-35.6847252045369,174.321063487625
;linzid=3084668	Marjorie Lane	-35.7123634438763,174.31456438815
;linzid=3084672	Kohanga Pl	-34.879973740392,173.295923224975
;linzid=3084677	Kintrae Cl	-35.7489827485159,174.269454086564
;linzid=3084725	Aho Lane	-35.8366867505923,174.460128225094
;linzid=3084724	Langman Crt	-35.8366867505923,174.460128225094
;linzid=3084726	Nautical Lane	-35.8366867505923,174.460128225094
;linzid=3084745	Rebel Lane	-35.68120305,174.4580133167
;linzid=3084746	Central Park Dr	-36.1116406035533,174.56837723092
;linzid=3084747	Karamu Lane	-36.1116406035533,174.56837723092
;linzid=3084748	Protea Lane	-36.1721236034429,174.457310243179
;linzid=3084752	McAuley Pl	-35.76074796182,174.36930702326
;linzid=3084753	Pukerangi Rise	-35.7603690155917,174.369426083063
;linzid=3084757	Kiwi Rise	-35.8246971,174.5239175
;linzid=3084777	Groom Rise	-35.9745497893443,174.372861822363
;linzid=3084779	Henry Lane	-35.5165907473878,174.318514212912
;linzid=3084599	Three Rivers Lane	-35.9790053799877,174.4416425933
;linzid=3084789	Kowhai Grv	-35.2170296240464,173.954129200316
;linzid=3084815	Bob Herman Lane	-35.7324027447183,174.240139956584
;linzid=3084871	Dairy Dr	-36.128854557287,174.32472240623
;linzid=3084872	Farms Tce	-36.1236228890229,174.322184583334
;linzid=3084873	Hayshed Lane	-36.1236228890229,174.322184583334
;linzid=3084874	Hoeroa St	-35.9311294731393,173.876188381097
;linzid=3084876	Moorhead Rise	-35.9161718833,173.8676734333
;linzid=3084885	Mooring Way	-35.8293302847001,174.462480549112
#############################

0 LINZ ids are in NZOGPS Northland but missing from LINZ
#############################

0 Number range ids are missing from NZOGPS Northland
#############################

0 Number range ids are in NZOGPS Northland but missing from LINZ
#############################

Finish = 2024-10-14 23:03:44 +1300
Processing time = 1.617885
