Start = 2023-06-27 21:13:08 +1200
#############################

49 LINZ ids are missing from NZOGPS Waikato
;linzid=3083800	Magistrate Ave	-37.6585950474287,175.514535126305
;linzid=3083801	Piki Turanga Pl	-37.659333111513,175.513255644963
;linzid=3083834	Taapapa Lane	-37.6809552833,175.1619460667
;linzid=3083838	Kohu Lane	-37.7058591393814,176.122529480916
;linzid=3083843	Pigeonwood Lane	-38.6345614748179,175.913815393988
;linzid=3083844	Tea Tree Lane	-38.6354372975966,175.913785396389
;linzid=3083845	Akeake Lane	-38.6379705241757,175.912809473562
;linzid=3083847	Clives Way	-38.5944748257736,176.009308272012
;linzid=3083851	Raupo Lane	-38.1460572262938,176.2466003072
;linzid=3083850	Turutu Cres	-38.1450394246534,176.245960225086
;linzid=3083869	Tirikatene Ave	-37.1416991679071,174.890886663034
;linzid=3083868	Maurice Harding Ave	-37.1420761957372,174.894545031858
;linzid=3083870	Paul Sotutu Rd	-37.1384424682545,174.891941906551
;linzid=3083872	Rakena Way	-37.1393328560076,174.893083953271
;linzid=3083871	Robert Gibson Rd	-37.1413955995444,174.891602280918
;linzid=3083873	Eric Salmon Rd	-37.1396047642502,174.892374594607
;linzid=3083874	Tumuaki Rd	-37.1391402247957,174.891503977142
;linzid=3083877	Laurenson St	-37.1420699551394,174.893538408789
;linzid=3083876	Neate St	-37.1420699551394,174.893538408789
;linzid=3083879	Caughey Rd	-37.1460772366654,174.891007438193
;linzid=3083878	Ernie Lepper Rd	-37.1437184176157,174.891664969734
;linzid=3083880	Te Maro Rd	-37.1460772366654,174.891007438193
;linzid=3083881	Matau Rd	-37.1452531511401,174.892041965095
;linzid=3083875	Weteriana Rd	-37.1413955995444,174.891602280918
;linzid=3083884	Te Tarata Grv	-37.1584721596451,174.717918055052
;linzid=3083883	Tai Tauwhare Rd	-37.1584721596451,174.717918055052
;linzid=3083886	Masons way	-37.2820196333,175.4957935833
;linzid=3083888	Coptic Tce	-37.2326085297052,175.01763266191
;linzid=3083889	Waimaa Lane	-37.2418058731291,175.01464047406
;linzid=3083890	Piedmonte Ave	-37.2527263150215,175.011943605757
;linzid=3083891	Vigneto St	-37.2530356566148,175.009881215074
;linzid=3083892	Dolcetto Pl	-37.2530356566148,175.009881215074
;linzid=3083893	Netu Lane	-37.2529559032816,175.011454582763
;linzid=3083894	Vintner Lane	-37.2527263150215,175.011943605757
;linzid=3083895	Chris Gatehouse Lane	-37.2561661577979,175.009508010116
;linzid=3083898	Kaka Rd	-37.1254959139095,174.975436227355
;linzid=3083899	Kuku Rd	-37.1249600713067,174.972250059593
;linzid=3083900	Kereru Rd	-37.1249600713067,174.972250059593
;linzid=3083901	Ross Stevenson Rd	-37.1274503531173,174.969854096012
;linzid=3083925	Kenepuru Cres	-37.8840913922998,175.452400227193
;linzid=3083926	One Haruru St	-37.8700949793309,175.453491407944
;linzid=3083927	Oneone St	-37.8692466849992,175.453486883708
;linzid=3083928	Keri Rua Rd	-37.9043882351093,175.453944279488
;linzid=3083929	Hauhake Tce	-37.9043882351093,175.453944279488
;linzid=3083930	Whakahaumako Rd	-37.9042986343491,175.452152396399
;linzid=3083934	Post Office Rd	-38.5206709965051,175.362295418316
;linzid=3083937	Stewart Crt	-37.7075341593966,176.152958232989
;linzid=3083943	Memorial Way	-37.7005015285076,176.164213556166
;linzid=3083940	Kirian Lane	-37.1831311782031,174.647754012925
#############################

0 LINZ ids are in NZOGPS Waikato but missing from LINZ
#############################

0 Number range ids are missing from NZOGPS Waikato
#############################

0 Number range ids are in NZOGPS Waikato but missing from LINZ
#############################

Finish = 2023-06-27 21:13:12 +1200
Processing time = 4.399493
